class,Rf.values,sample 1,sample 2,sample 3,sample 4,sample 5,sample 6,sample 7,sample 8,sample 9,sample 10,sample 11,sample 12,sample 13,sample 14,sample 15,sample 16,Kon A,Kon B,Kon C
group,,control,control,control,control,ko1,ko1,ko1,ko1,wt,wt,wt,wt,ko2,ko2,ko2,ko2,Kon A,Kon B,Kon C
sample input,,10,9,10,9,9,9,9,9,12,13,12,12,12,12,11,13,,50,100
PC,0.83,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,,
SM,1.06,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,,
PE,1.33,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,,
PS,0.79,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,,
PI,0.51,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,,
PG,0.75,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,
PA,0.27,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,
HexCer,1.83,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,
Cer,1.32,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,
Hex2Cer,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,
DAG,0.61,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,,
TAG,0.57,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,,
CE,1,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,,
LPC,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,
Chol,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
PE P-16_0,0.72,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,,
PE P-18_0,0.72,23.25,23.25,23.25,23.25,23.25,23.25,23.25,23.25,23.25,23.25,23.25,23.25,23.25,23.25,23.25,23.25,23.25,,
PE P-18_1,0.72,32.25,32.25,32.25,32.25,32.25,32.25,32.25,32.25,32.25,32.25,32.25,32.25,32.25,32.25,32.25,32.25,32.25,,
